market,epiweek,year,forecast_date,target,target_end_date,location,type,quantile,value
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.4,4.9
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.45,5
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.5,5.1
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.55,5.3
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.6,5.5
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.65,5.7
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,point,NA,5.9
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.7,6
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.75,6.1
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.8,6.3
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.85,6.6
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.9,7.5
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.95,8.1
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.975,8.6
Bliss/White Sands,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bliss_White_Sands,quantile,0.99,10.2
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.01,2.7
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.025,3.1
Bliss/White Sands,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bliss_White_Sands,quantile,0.05,3.5
